Trade_Dt,name,value
12-31-2015,Momentum,0.127487256
12-31-2015,Growth,0.002773132
12-31-2015,Capex,-0.023838956
1-31-2016,Alpha,0.82041539
1-31-2016,Market,0.282017116
1-31-2016,Size,0.048600178
1-31-2016,Quality,0.210652622
1-31-2016,Momentum,0.119515714
1-31-2016,Growth,0.005222211
1-31-2016,Capex,-0.032182881
2-29-2016,Alpha,0.853847045
2-29-2016,Market,0.269294821
2-29-2016,Size,0.058071053
2-29-2016,Quality,0.21358785
2-29-2016,Momentum,0.110467837
2-29-2016,Growth,0.007477875
2-29-2016,Capex,-0.035599741
3-31-2016,Alpha,0.986564801
3-31-2016,Market,0.358019915
3-31-2016,Size,0.069361315
3-31-2016,Quality,0.235957693
3-31-2016,Momentum,0.101389324
3-31-2016,Growth,0.007251918
3-31-2016,Capex,-0.030720184
4-30-2016,Alpha,0.96841849
4-30-2016,Market,0.40174953
4-30-2016,Size,0.072583093
4-30-2016,Quality,0.228939916
4-30-2016,Momentum,0.100242551
4-30-2016,Growth,0.006726335
4-30-2016,Capex,-0.03484648
5-31-2016,Alpha,0.955410704
5-31-2016,Market,0.390122655
5-31-2016,Size,0.074879071
5-31-2016,Quality,0.240381158
5-31-2016,Momentum,0.096617595
5-31-2016,Growth,0.008044889
5-31-2016,Capex,-0.02606678
6-30-2016,Alpha,1.007641903
6-30-2016,Market,0.348902153
6-30-2016,Size,0.084055079
6-30-2016,Quality,0.276627455
6-30-2016,Momentum,0.120914394
6-30-2016,Growth,0.015305493
6-30-2016,Capex,-0.022578291
7-31-2016,Alpha,1.085036548
7-31-2016,Market,0.416010127
7-31-2016,Size,0.085144522
7-31-2016,Quality,0.27463608
7-31-2016,Momentum,0.119494903
7-31-2016,Growth,0.013906954
7-31-2016,Capex,-0.018385593
8-31-2016,Alpha,1.345873291
8-31-2016,Market,0.405145164
8-31-2016,Size,0.080559189
8-31-2016,Quality,0.244911492
8-31-2016,Momentum,0.089247863
8-31-2016,Growth,0.00248024
8-31-2016,Capex,-0.025178714
9-30-2016,Alpha,1.316149663
9-30-2016,Market,0.422363236
9-30-2016,Size,0.086366376
9-30-2016,Quality,0.25248721
9-30-2016,Momentum,0.086353126
9-30-2016,Growth,0.000277313
9-30-2016,Capex,-0.033166345
10-31-2016,Alpha,1.492577246
10-31-2016,Market,0.384107488
10-31-2016,Size,0.082721117
10-31-2016,Quality,0.179226893
10-31-2016,Momentum,0.111079541
10-31-2016,Growth,-0.004277049
10-31-2016,Capex,-0.041529195
11-30-2016,Alpha,0.943293171
11-30-2016,Market,0.378225374
11-30-2016,Size,0.093598957
11-30-2016,Quality,0.236767866
11-30-2016,Momentum,0.15574823
11-30-2016,Growth,-0.000948109
11-30-2016,Capex,-0.051168656
12-31-2016,Alpha,0.927258868
12-31-2016,Market,0.415028736
12-31-2016,Size,0.088897486
12-31-2016,Quality,0.230865265
12-31-2016,Momentum,0.159073622
12-31-2016,Growth,0.000597296
12-31-2016,Capex,-0.055135007
1-31-2017,Alpha,1.002226509
1-31-2017,Market,0.464018879
1-31-2017,Size,0.096810312
1-31-2017,Quality,0.22600044
1-31-2017,Momentum,0.166955273
1-31-2017,Growth,0.001424657
1-31-2017,Capex,-0.057383293
2-28-2017,Alpha,1.056193172
2-28-2017,Market,0.476125093
2-28-2017,Size,0.101737855
2-28-2017,Quality,0.240527003
2-28-2017,Momentum,0.158962223
2-28-2017,Growth,0.000911229
2-28-2017,Capex,-0.055927535
3-31-2017,Alpha,1.152706831
3-31-2017,Market,0.521320939
3-31-2017,Size,0.094920752
3-31-2017,Quality,0.253878564
3-31-2017,Momentum,0.156660781
3-31-2017,Growth,0.000141607
3-31-2017,Capex,-0.054413698
4-30-2017,Alpha,1.260916327
4-30-2017,Market,0.5647312
4-30-2017,Size,0.0918484
4-30-2017,Quality,0.267243633
4-30-2017,Momentum,0.151721754
4-30-2017,Growth,-0.000396628
4-30-2017,Capex,-0.051844695
5-31-2017,Alpha,1.224675643
5-31-2017,Market,0.603779068
5-31-2017,Size,0.086681133
5-31-2017,Quality,0.244299488
5-31-2017,Momentum,0.180664351
5-31-2017,Growth,-0.002441896
5-31-2017,Capex,-0.053101906
6-30-2017,Alpha,1.292142799
6-30-2017,Market,0.608807279
6-30-2017,Size,0.094737065
6-30-2017,Quality,0.231123896
6-30-2017,Momentum,0.189050706
6-30-2017,Growth,-0.001169373
6-30-2017,Capex,-0.055213206
7-31-2017,Alpha,1.456759606
7-31-2017,Market,0.659264622
7-31-2017,Size,0.095181242
7-31-2017,Quality,0.200533207
7-31-2017,Momentum,0.210920239
7-31-2017,Growth,0.00110883
7-31-2017,Capex,-0.05909277
8-31-2017,Alpha,1.442188818
8-31-2017,Market,0.661816034
8-31-2017,Size,0.096485465
8-31-2017,Quality,0.199627848
8-31-2017,Momentum,0.219650192
8-31-2017,Growth,0.000680086
8-31-2017,Capex,-0.063137152
9-30-2017,Alpha,1.456155347
9-30-2017,Market,0.697131019
9-30-2017,Size,0.096843047
9-30-2017,Quality,0.198391472
9-30-2017,Momentum,0.220198346
9-30-2017,Growth,0.001698994
9-30-2017,Capex,-0.066052492
10-31-2017,Alpha,1.441128955
10-31-2017,Market,0.72118736
10-31-2017,Size,0.097667715
10-31-2017,Quality,0.203016618
10-31-2017,Momentum,0.219567393
10-31-2017,Growth,0.001573338
10-31-2017,Capex,-0.065227039
11-30-2017,Alpha,1.473456016
11-30-2017,Market,0.734690781
11-30-2017,Size,0.098095209
11-30-2017,Quality,0.205986879
11-30-2017,Momentum,0.221233046
11-30-2017,Growth,0.001290432
11-30-2017,Capex,-0.060232724
12-31-2017,Alpha,1.582573567
12-31-2017,Market,0.766952669
12-31-2017,Size,0.109555056
12-31-2017,Quality,0.195040814
12-31-2017,Momentum,0.214707713
12-31-2017,Growth,0.001226779
12-31-2017,Capex,-0.060384739
1-31-2018,Alpha,1.440673909
1-31-2018,Market,0.83397916
1-31-2018,Size,0.111690359
1-31-2018,Quality,0.225163184
1-31-2018,Momentum,0.190793257
1-31-2018,Growth,0.001958661
1-31-2018,Capex,-0.070341375
2-28-2018,Alpha,1.44141916
2-28-2018,Market,0.761167438
2-28-2018,Size,0.119548506
2-28-2018,Quality,0.233340795
2-28-2018,Momentum,0.1937924
2-28-2018,Growth,0.00119289
2-28-2018,Capex,-0.067428721
3-31-2018,Alpha,1.331686323
3-31-2018,Market,0.747494323
3-31-2018,Size,0.119247587
3-31-2018,Quality,0.235411538
3-31-2018,Momentum,0.20083323
3-31-2018,Growth,-0.001058581
3-31-2018,Capex,-0.048530023
4-30-2018,Alpha,1.38163571
4-30-2018,Market,0.774904622
4-30-2018,Size,0.10371397
4-30-2018,Quality,0.222279661
4-30-2018,Momentum,0.200571203
4-30-2018,Growth,0.002071453
4-30-2018,Capex,-0.052981935
5-31-2018,Alpha,1.147851274
5-31-2018,Market,0.736387183
5-31-2018,Size,0.09905077
5-31-2018,Quality,0.207831209
5-31-2018,Momentum,0.223678845
5-31-2018,Growth,-0.007429334
5-31-2018,Capex,-0.031843414
6-30-2018,Alpha,1.107218129
6-30-2018,Market,0.715456035
6-30-2018,Size,0.09364191
6-30-2018,Quality,0.212006125
6-30-2018,Momentum,0.221932577
6-30-2018,Growth,-0.009975013
6-30-2018,Capex,-0.028918004
7-31-2018,Alpha,1.238350828
7-31-2018,Market,0.740483292
7-31-2018,Size,0.075227376
7-31-2018,Quality,0.197014878
7-31-2018,Momentum,0.210856868
7-31-2018,Growth,-0.007102502
7-31-2018,Capex,-0.029899265
8-31-2018,Alpha,1.236129452
8-31-2018,Market,0.711480244
8-31-2018,Size,0.077990578
8-31-2018,Quality,0.206325598
8-31-2018,Momentum,0.215750738
8-31-2018,Growth,-0.014665019
8-31-2018,Capex,-0.023475765
9-30-2018,Alpha,1.033964633
9-30-2018,Market,0.734115662
9-30-2018,Size,0.080891139
9-30-2018,Quality,0.223764821
9-30-2018,Momentum,0.193663819
9-30-2018,Growth,-0.009540377
9-30-2018,Capex,-0.026144623
10-31-2018,Alpha,1.109675572
10-31-2018,Market,0.574460068
10-31-2018,Size,0.068506039
10-31-2018,Quality,0.201006761
10-31-2018,Momentum,0.161935757
10-31-2018,Growth,-0.005168238
10-31-2018,Capex,-0.025382661
11-30-2018,Alpha,1.276178879
11-30-2018,Market,0.57824896
11-30-2018,Size,0.07055725
11-30-2018,Quality,0.220969562
11-30-2018,Momentum,0.119285857
11-30-2018,Growth,-0.006155782
11-30-2018,Capex,-0.021272661
12-31-2018,Alpha,1.321550994
12-31-2018,Market,0.490367579
12-31-2018,Size,0.053683052
12-31-2018,Quality,0.207938678
12-31-2018,Momentum,0.151929956
12-31-2018,Growth,-0.003776406
12-31-2018,Capex,-0.032942464
1-31-2019,Alpha,1.353563625
1-31-2019,Market,0.566292088
1-31-2019,Size,0.049401418
1-31-2019,Quality,0.193195882
1-31-2019,Momentum,0.17213894
1-31-2019,Growth,-0.007946432
1-31-2019,Capex,-0.03080437
2-28-2019,Alpha,1.247520937
2-28-2019,Market,0.5997821
2-28-2019,Size,0.048946287
2-28-2019,Quality,0.211455624
2-28-2019,Momentum,0.175391242
2-28-2019,Growth,-0.013926842
2-28-2019,Capex,-0.024649297
3-31-2019,Alpha,1.396429286
3-31-2019,Market,0.604487776
3-31-2019,Size,0.040609528
3-31-2019,Quality,0.197833555
3-31-2019,Momentum,0.204273447
3-31-2019,Growth,-0.017766693
3-31-2019,Capex,-0.023885128
4-30-2019,Alpha,1.303587459
4-30-2019,Market,0.642011065
4-30-2019,Size,0.038347938
4-30-2019,Quality,0.19933441
4-30-2019,Momentum,0.222004987
4-30-2019,Growth,-0.023773534
4-30-2019,Capex,-0.022183895
5-31-2019,Alpha,1.195505216
5-31-2019,Market,0.584223238
5-31-2019,Size,0.043283984
5-31-2019,Quality,0.226604959
5-31-2019,Momentum,0.212781202
5-31-2019,Growth,-0.031159905
5-31-2019,Capex,-0.022963356
6-30-2019,Alpha,1.231846031
6-30-2019,Market,0.651437934
6-30-2019,Size,0.0345288
6-30-2019,Quality,0.227159355
6-30-2019,Momentum,0.215052439
6-30-2019,Growth,-0.032679017
6-30-2019,Capex,-0.024357988
