Trade_Dt,P&L(%)
8-Feb-19,-0.0038
11-Feb-19,-0.0049
12-Feb-19,0.0054
13-Feb-19,-0.0101
14-Feb-19,0.0081
15-Feb-19,-0.0131
18-Feb-19,-0.0004
19-Feb-19,-0.0007
20-Feb-19,0.0012
21-Feb-19,0.0024
22-Feb-19,0.0023
25-Feb-19,0.0042
26-Feb-19,-0.0002
27-Feb-19,0.0013
28-Feb-19,-0.0064
1-Mar-19,0.0004
4-Mar-19,0.0003
5-Mar-19,0.0163
6-Mar-19,0.0008
7-Mar-19,-0.0058
8-Mar-19,-0.0036
11-Mar-19,0.0173
12-Mar-19,-0.0008
13-Mar-19,-0.0023
14-Mar-19,0
15-Mar-19,0.0088
18-Mar-19,0.0074
19-Mar-19,-0.0033
20-Mar-19,-0.0034
21-Mar-19,0
22-Mar-19,-0.0118
25-Mar-19,-0.001
26-Mar-19,0.0128
27-Mar-19,-0.006
28-Mar-19,0.0105
29-Mar-19,0.0082
1-Apr-19,0.0107
2-Apr-19,-0.0009
3-Apr-19,-0.004
4-Apr-19,-0.0095
5-Apr-19,0.0044
8-Apr-19,-0.0053
9-Apr-19,0.0064
10-Apr-19,0.0021
11-Apr-19,-0.0061
12-Apr-19,-0.0028
15-Apr-19,0.0001
16-Apr-19,0.003
17-Apr-19,-0.0054
18-Apr-19,-0.0062
19-Apr-19,-0.0006
22-Apr-19,-0.011
23-Apr-19,-0.0003
24-Apr-19,-0.0006
25-Apr-19,0.0029
26-Apr-19,0.002
29-Apr-19,0.0024
30-Apr-19,0.006
1-May-19,-0.0001
2-May-19,-0.0079
3-May-19,0.003
6-May-19,-0.0211
7-May-19,-0.0039
8-May-19,-0.0046
9-May-19,-0.0061
10-May-19,0.0006
13-May-19,-0.0226
14-May-19,-0.0024
15-May-19,0.0021
16-May-19,-0.0033
17-May-19,-0.0005
20-May-19,0.011
21-May-19,0.0104
22-May-19,0.0043
23-May-19,-0.0145
24-May-19,0.0057
27-May-19,-0.003
28-May-19,0.006
29-May-19,-0.0033
30-May-19,0.0037
31-May-19,0.0015
3-Jun-19,0.0158
4-Jun-19,-0.008
5-Jun-19,-0.0056
6-Jun-19,-0.0039
7-Jun-19,0.0001
10-Jun-19,0.0068
11-Jun-19,0.0097
12-Jun-19,-0.0036
13-Jun-19,0.0028
14-Jun-19,-0.0107
17-Jun-19,-0.004
18-Jun-19,0.0045
19-Jun-19,0.0049
20-Jun-19,0.0156
21-Jun-19,0.0005
24-Jun-19,-0.0019
25-Jun-19,-0.0077
26-Jun-19,0.005
27-Jun-19,0.0078
28-Jun-19,0.0016
1-Jul-19,0.0021
2-Jul-19,0.0017
3-Jul-19,0.0055
4-Jul-19,0.0052
5-Jul-19,-0.0039
8-Jul-19,-0.0161
9-Jul-19,0.0071
10-Jul-19,0.0112
11-Jul-19,0.0156
12-Jul-19,-0.0069
15-Jul-19,-0.0073
16-Jul-19,-0.0075
17-Jul-19,-0.0043
18-Jul-19,-0.0021
19-Jul-19,-0.0123
22-Jul-19,-0.0107
23-Jul-19,-0.0104
24-Jul-19,-0.0044
25-Jul-19,0.0033
26-Jul-19,0.0028
29-Jul-19,-0.0045
30-Jul-19,-0.0046
31-Jul-19,0.0031
1-Aug-19,-0.0045
2-Aug-19,0.0041
5-Aug-19,-0.0345
6-Aug-19,0.0016
7-Aug-19,-0.0025
8-Aug-19,0.0263
9-Aug-19,0.0069
12-Aug-19,-0.0137
13-Aug-19,-0.0074
14-Aug-19,-0.0115
15-Aug-19,-0.0039
16-Aug-19,0.0094
19-Aug-19,0.0057
20-Aug-19,-0.0062
21-Aug-19,-0.0044
22-Aug-19,-0.0113
23-Aug-19,-0.0134
26-Aug-19,-0.0081
27-Aug-19,0.0019
28-Aug-19,-0.0002
29-Aug-19,0.0061
30-Aug-19,0.0096
