Date,Sector,Net
2017-03-09,Consumer Discretionary,0.2562
2017-03-09,Real Estate,0.0174
2017-03-09,Financials,0.204
2017-03-09,Health Care,0.069
2017-03-09,Consumer Staples,0.044
2017-03-09,Currency,0
2017-03-10,Health Care,0.0692
2017-03-10,Financials,0.2014
2017-03-10,Real Estate,0.0177
2017-03-10,Consumer Discretionary,0.2544
2017-03-10,Currency,0
2017-03-10,Index,0.0565
2017-03-10,Industrials,0.196
2017-03-10,Consumer Staples,0.0437
2017-03-10,Materials,0.1478
2017-03-13,Industrials,0.1974
2017-03-13,Currency,0
2017-03-13,Consumer Discretionary,0.253
2017-03-13,Index,0.057
2017-03-13,Financials,0.2006
2017-03-13,Health Care,0.0691
2017-03-13,Consumer Staples,0.0435
2017-03-13,Real Estate,0.018
2017-03-13,Materials,0.1479
2017-03-14,Industrials,0.1976
2017-03-14,Index,0.056
2017-03-14,Health Care,0.068
2017-03-14,Real Estate,0.0178
2017-03-14,Materials,0.1503
2017-03-14,Currency,0
2017-03-14,Consumer Discretionary,0.2537
2017-03-14,Consumer Staples,0.0438
2017-03-14,Financials,0.1991
2017-03-15,Currency,0
2017-03-15,Real Estate,0.0179
2017-03-15,Industrials,0.2009
2017-03-15,Consumer Staples,0.0439
2017-03-15,Index,0.0567
2017-03-15,Materials,0.1496
2017-03-15,Financials,0.1968
2017-03-15,Consumer Discretionary,0.2541
2017-03-15,Health Care,0.067
2017-03-16,Financials,0.1962
2017-03-16,Health Care,0.0671
2017-03-16,Index,0.0565
2017-03-16,Consumer Discretionary,0.2547
2017-03-16,Consumer Staples,0.0445
2017-03-16,Industrials,0.202
2017-03-16,Materials,0.1483
2017-03-16,Real Estate,0.0181
2017-03-16,Currency,0
2017-03-17,Industrials,0.2026
2017-03-17,Consumer Discretionary,0.257
2017-03-17,Index,0.0559
2017-03-17,Consumer Staples,0.0441
2017-03-17,Health Care,0.0671
2017-03-17,Materials,0.1482
2017-03-17,Financials,0.1978
2017-03-17,Real Estate,0.0189
2017-03-17,Currency,0
2017-03-20,Index,0.0568
2017-03-20,Financials,0.1975
2017-03-20,Currency,0
2017-03-20,Consumer Staples,0.0441
2017-03-20,Health Care,0.0681
2017-03-20,Materials,0.1457
2017-03-20,Industrials,0.2022
2017-03-20,Consumer Discretionary,0.2582
2017-03-20,Real Estate,0.019
2017-03-21,Consumer Discretionary,0.2605
2017-03-21,Health Care,0.0675
2017-03-21,Industrials,0.2014
2017-03-21,Consumer Staples,0.0439
2017-03-21,Currency,0
2017-03-21,Index,0.056
2017-03-21,Financials,0.1957
2017-03-21,Materials,0.1473
2017-03-21,Real Estate,0.0192
2017-03-22,Consumer Staples,0.0433
2017-03-22,Consumer Discretionary,0.2619
2017-03-22,Index,0.055
2017-03-22,Materials,0.1465
2017-03-22,Financials,0.196
2017-03-22,Real Estate,0.0206
2017-03-22,Currency,0
2017-03-22,Industrials,0.2007
2017-03-22,Health Care,0.0678
2017-03-23,Health Care,0.0673
2017-03-23,Materials,0.1456
2017-03-23,Real Estate,0.0214
2017-03-23,Consumer Staples,0.044
2017-03-23,Consumer Discretionary,0.2633
2017-03-23,Index,0.0549
2017-03-23,Financials,0.1979
2017-03-23,Currency,0
2017-03-23,Industrials,0.1989
2017-03-24,Currency,0
2017-03-24,Consumer Discretionary,0.264
2017-03-24,Index,0.0547
2017-03-24,Financials,0.197
2017-03-24,Consumer Staples,0.0437
2017-03-24,Industrials,0.197
