Date,Sector,Net
2017-04-26,Financials,0.21
2017-04-26,Cons. Disc.,0.26
2017-04-26,Currency,0
2017-04-26,Health Care,0.07
2017-04-27,Financials,0.21
2017-04-27,Industrials,0.18
2017-04-27,Cons. Staples,0.05
2017-04-27,Health Care,0.07
2017-04-27,Materials,0.15
2017-04-27,Index,0.05
2017-04-27,Real Estate,0.02
2017-04-27,Cons. Disc.,0.26
2017-04-27,Currency,0
2017-04-28,Cons. Staples,0.05
2017-04-28,Materials,0.15
2017-04-28,Financials,0.21
2017-04-28,Cons. Disc.,0.26
2017-04-28,Real Estate,0.02
2017-04-28,Currency,0
2017-04-28,Index,0.05
2017-04-28,Industrials,0.18
2017-04-28,Health Care,0.07
2017-05-01,Cons. Disc.,0.26
2017-05-01,Currency,0
2017-05-01,Real Estate,0.02
2017-05-01,Financials,0.21
2017-05-01,Index,0.05
2017-05-01,Industrials,0.18
2017-05-01,Health Care,0.07
2017-05-01,Materials,0.15
2017-05-01,Cons. Staples,0.05
2017-05-02,Materials,0.15
2017-05-02,Cons. Disc.,0.26
2017-05-02,Health Care,0.07
2017-05-02,Cons. Staples,0.05
2017-05-02,Real Estate,0.02
2017-05-02,Financials,0.21
2017-05-02,Industrials,0.18
2017-05-02,Currency,0
2017-05-02,Index,0.05
2017-05-03,Industrials,0.18
2017-05-03,Cons. Disc.,0.26
2017-05-03,Index,0.05
2017-05-03,Real Estate,0.02
2017-05-03,Materials,0.15
2017-05-03,Health Care,0.07
2017-05-03,Financials,0.21
2017-05-03,Cons. Staples,0.05
2017-05-03,Currency,0
2017-05-04,Health Care,0.07
2017-05-04,Materials,0.15
2017-05-04,Real Estate,0.02
2017-05-04,Cons. Staples,0.05
2017-05-04,Index,0.04
2017-05-04,Financials,0.21
2017-05-04,Industrials,0.18
2017-05-04,Currency,0
2017-05-04,Cons. Disc.,0.26
2017-05-05,Materials,0.15
2017-05-05,Health Care,0.07
2017-05-05,Industrials,0.18
2017-05-05,Currency,0
2017-05-05,Real Estate,0.02
2017-05-05,Cons. Disc.,0.26
2017-05-05,Index,0.04
2017-05-05,Cons. Staples,0.05
2017-05-05,Financials,0.21
2017-05-08,Currency,0
2017-05-08,Industrials,0.18
2017-05-08,Index,0.04
2017-05-08,Cons. Disc.,0.26
2017-05-08,Real Estate,0.02
2017-05-08,Health Care,0.07
2017-05-08,Materials,0.15
2017-05-08,Cons. Staples,0.05
2017-05-08,Financials,0.21
2017-05-09,Industrials,0.18
2017-05-09,Financials,0.21
2017-05-09,Cons. Staples,0.05
2017-05-09,Cons. Disc.,0.26
2017-05-09,Materials,0.15
2017-05-09,Health Care,0.07
2017-05-09,Real Estate,0.02
2017-05-09,Currency,0
2017-05-09,Index,0.04
2017-05-10,Cons. Disc.,0.26
2017-05-10,Materials,0.15
2017-05-10,Industrials,0.19
2017-05-10,Cons. Staples,0.05
2017-05-10,Index,0.05
2017-05-10,Health Care,0.07
2017-05-10,Financials,0.21
2017-05-10,Real Estate,0.03
2017-05-10,Currency,0
2017-05-11,Health Care,0.06
2017-05-11,Real Estate,0.02
2017-05-11,Industrials,0.18
2017-05-11,Financials,0.21
2017-05-11,Currency,0
2017-05-11,Cons. Staples,0.05
2017-05-11,Index,0.05
2017-05-11,Cons. Disc.,0.26
2017-05-11,Materials,0.15
2017-05-12,Real Estate,0.02
2017-05-12,Cons. Staples,0.05
2017-05-12,Industrials,0.19
2017-05-12,Health Care,0.06
2017-05-12,Materials,0.15
2017-05-12,Index,0.05
2017-05-12,Financials,0.21
2017-05-12,Currency,0
2017-05-12,Cons. Disc.,0.26
2017-05-15,Materials,0.15
2017-05-15,Real Estate,0.02
2017-05-15,Cons. Disc.,0.26
2017-05-15,Financials,0.2
2017-05-15,Cons. Staples,0.05
2017-05-15,Industrials,0.19
