trade_dt,Country,VaR90D%
3/22/2017,Mexico,-0.002875921
3/22/2017,Philippines,-0.0039589
3/22/2017,Taiwan,-0.000197165
3/23/2017,India,-0.005022807
3/23/2017,Philippines,-0.003992418
3/23/2017,Indonesia,-0.000879292
3/23/2017,Brazil,-0.001122295
3/23/2017,Japan,-0.000378667
3/23/2017,Taiwan,-0.000189577
3/23/2017,China,-0.000191881
3/23/2017,United States,-0.000177688
3/23/2017,Mexico,-0.002962253
3/23/2017,Thailand,-1.48677E-07
3/23/2017,Chile,-0.000293399
3/24/2017,Japan,-0.000391404
3/24/2017,Chile,-0.000310996
3/24/2017,Mexico,-0.003068751
3/24/2017,China,-0.000197961
3/24/2017,Philippines,-0.003905617
3/24/2017,Thailand,-1.36024E-07
3/24/2017,United States,-0.000174884
3/24/2017,India,-0.004884696
3/24/2017,Brazil,-0.001088099
3/24/2017,Taiwan,-0.000203335
3/24/2017,Indonesia,-0.000886555
3/27/2017,Thailand,-1.38215E-07
3/27/2017,Chile,-0.00032323
3/27/2017,United States,-0.000169544
3/27/2017,Mexico,-0.003068268
3/27/2017,Japan,-0.00040838
3/27/2017,China,-0.000200597
3/27/2017,Indonesia,-0.000799475
3/27/2017,India,-0.004477675
3/27/2017,Taiwan,-0.000136284
3/27/2017,Brazil,-0.001142746
3/27/2017,Philippines,-0.003997989
3/28/2017,Taiwan,-0.000114812
3/28/2017,Indonesia,-0.000706347
3/28/2017,Brazil,-0.00110732
3/28/2017,China,-0.000194014
3/28/2017,Philippines,-0.003770272
3/28/2017,Chile,-0.0003282
3/28/2017,Mexico,-0.003153359
3/28/2017,Thailand,-1.40604E-07
3/28/2017,United States,-0.000157716
3/28/2017,India,-0.004578272
3/28/2017,Japan,-0.000433978
3/29/2017,Philippines,-0.003697914
3/29/2017,Japan,-0.000439085
3/29/2017,Taiwan,-0.000100148
3/29/2017,Indonesia,-0.000724092
3/29/2017,India,-0.004023825
3/29/2017,Brazil,-0.001127922
3/29/2017,China,-0.000184335
3/29/2017,Chile,-0.00029064
3/29/2017,Mexico,-0.003043531
3/29/2017,Thailand,-9.57359E-08
3/29/2017,United States,-0.000118415
3/30/2017,China,-0.000180472
3/30/2017,Chile,-0.000288399
3/30/2017,Brazil,-0.001130759
3/30/2017,Indonesia,-0.000731231
3/30/2017,Thailand,-9.34665E-08
3/30/2017,India,-0.003977524
3/30/2017,United States,-0.000127296
3/30/2017,Japan,-0.000428772
3/30/2017,Mexico,-0.003059858
3/30/2017,Philippines,-0.003680316
3/30/2017,Taiwan,-0.000106749
3/31/2017,Taiwan,-0.000113535
3/31/2017,Brazil,-0.001142364
3/31/2017,India,-0.004023189
3/31/2017,Philippines,-0.003635858
3/31/2017,Indonesia,-0.000722593
3/31/2017,China,-0.000180233
3/31/2017,United States,-0.000146116
3/31/2017,Japan,-0.000437792
3/31/2017,Chile,-0.000288205
3/31/2017,Mexico,-0.003032599
3/31/2017,Thailand,-9.41249E-08
4/3/2017,Taiwan,-0.000110902
4/3/2017,Indonesia,-0.000664721
4/3/2017,United States,-0.000202608
4/3/2017,Brazil,-0.001179912
4/3/2017,Thailand,-9.01998E-08
4/3/2017,India,-0.003937026
4/3/2017,Philippines,-0.003530413
4/3/2017,Japan,-0.000401397
4/3/2017,China,-0.000173238
4/3/2017,Mexico,-0.003115519
4/3/2017,Chile,-0.00029128
4/4/2017,Japan,-0.000402014
4/4/2017,Mexico,-0.003304627
4/4/2017,China,-0.000155638
4/4/2017,Philippines,-0.003190213
4/4/2017,Chile,-0.00031025
4/4/2017,United States,-0.000238779
4/4/2017,Thailand,-8.88059E-08
4/4/2017,Indonesia,-0.000569398
4/4/2017,Brazil,-0.001189477
4/4/2017,India,-0.003960205
4/4/2017,Taiwan,-9.24228E-05
4/5/2017,China,-6.50548E-05
4/5/2017,Indonesia,-0.000574723
4/5/2017,United States,-0.000210422
4/5/2017,Taiwan,-5.71891E-05
4/5/2017,Chile,-0.000335658
4/5/2017,Mexico,-0.003405004
4/5/2017,Japan,-0.00031952
4/5/2017,Philippines,-0.003062732
4/5/2017,India,-0.004219738
4/5/2017,Brazil,-0.001191386
4/5/2017,Thailand,-9.96035E-08
4/6/2017,India,-0.004262858
4/6/2017,Taiwan,-5.83415E-05
4/6/2017,Brazil,-0.001195735
4/6/2017,Philippines,-0.003040524
4/6/2017,China,-6.21618E-05
4/6/2017,Indonesia,-0.000582337
4/6/2017,Chile,-0.000336828
4/6/2017,Mexico,-0.003370309
4/6/2017,Thailand,-1.01182E-07
4/6/2017,United States,-0.000213806
4/6/2017,Japan,-0.000317761
4/7/2017,Chile,-0.000349967
4/7/2017,Mexico,-0.003537436
4/7/2017,Thailand,-9.48756E-08
4/7/2017,United States,-0.000194117
4/7/2017,China,-9.6538E-05
4/7/2017,Indonesia,-0.000507323
4/7/2017,Brazil,-0.001120257
4/7/2017,India,-0.004366703
4/7/2017,Japan,-0.000324345
4/7/2017,Taiwan,-5.93661E-05
4/7/2017,Philippines,-0.003019684
4/10/2017,Thailand,-8.66788E-08
4/10/2017,United States,-0.000193679
4/10/2017,Chile,-0.000342263
4/10/2017,Mexico,-0.003199725
4/10/2017,Japan,-0.000332546
4/10/2017,Indonesia,-0.000483418
4/10/2017,China,-9.76489E-05
4/10/2017,India,-0.004406196
4/10/2017,Philippines,-0.00309721
