Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
22-Dec-17,-0.03,1.33,-1.33,,,,,,,,,
25-Dec-17,0.14,1.29,-1.29,,,,,,,,,
26-Dec-17,0.03,1.28,-1.28,,,,,,,,,
27-Dec-17,0.36,1.29,-1.29,,,,,,,,,
28-Dec-17,0.43,1.28,-1.28,,,,,,,,,
29-Dec-17,0.72,1.27,-1.28,,,,,,,,,
01-Jan-18,-0.02,1.26,-1.26,,,,,,,,,
02-Jan-18,0.24,1.26,-1.26,,,,,,,,,
03-Jan-18,-0.01,1.28,-1.28,,,,,,,,,
04-Jan-18,0.24,1.28,-1.28,,,,,,,,,
05-Jan-18,0.32,1.27,-1.27,,,,,,,,,
08-Jan-18,-0.02,1.27,-1.27,,,,,,,,,
09-Jan-18,-0.21,1.25,-1.25,,,,,,,,,
10-Jan-18,-0.95,1.28,-1.28,,,,,,,,,
11-Jan-18,-0.22,1.28,-1.28,,,,,,,,,
12-Jan-18,-0.28,1.28,-1.28,,,,,,,,,
15-Jan-18,0.38,1.29,-1.29,,,,,,,,,
16-Jan-18,-0.33,1.28,-1.29,,,,,,,,,
17-Jan-18,0.32,1.28,-1.28,,,,,,,,,
18-Jan-18,-0.24,1.3,-1.30,,,,,,,,,
19-Jan-18,0.1,1.29,-1.29,,,,,,,,,
22-Jan-18,-0.39,1.29,-1.29,,,,,,,,,
23-Jan-18,-0.62,1.3,-1.30,,,,,,,,,
24-Jan-18,0.85,1.32,-1.32,,,,,,,,,
25-Jan-18,0.11,1.31,-1.31,,,,,,,,,
26-Jan-18,0.36,1.31,-1.31,,,,,,,,,
29-Jan-18,-0.49,1.31,-1.31,,,,,,,,,
30-Jan-18,-1.46,1.37,-1.37,,,,,,,,,
31-Jan-18,0.34,1.4,-1.40,,,,,,,,,
01-Feb-18,-0.23,1.38,-1.38,,,,,,,,,
02-Feb-18,-2.07,1.49,-1.49,,,,,,,,,
05-Feb-18,-1.48,1.5,-1.50,,,,,,,,,
06-Feb-18,0.06,1.49,-1.49,,,,,,,,,
07-Feb-18,0.08,1.52,-1.52,,,,,,,,,
08-Feb-18,0.18,1.43,-1.43,,,,,,,,,
09-Feb-18,-0.58,1.45,-1.45,,,,,,,,,
12-Feb-18,0.79,1.47,-1.47,,,,,,,,,
13-Feb-18,-0.04,1.44,-1.45,,,,,,,,,
