Date,name1,value,parent,name
16-01-17,RAIL3 BZ Equity,0.053609769,Origin,RAIL3 BZ 
16-01-17,SECB PM Equity,0.081326491,Origin,SECB PM 
16-01-17,EEM US Equity,0.039356723,Origin,EEM
16-01-17,SRCM IN Equity,0.065975512,Origin,SRCM IN 
16-01-17,MIKA IJ Equity,0.028242439,Origin,MIKA IJ 
16-01-17,MRCO IN Equity,0.035643871,Origin,MRCO IN 
16-01-17,6409 TT Equity,0.039788758,Origin,6409 TT 
16-01-17,RBK IN Equity,0.025802713,Origin,RBK IN 
16-01-17,PARAUCO CI Equity,0.00661,Origin,PARAUCO CI 
16-01-17,ALSEA* MM Equity,0.081663493,Origin,ALSEA* MM 
16-01-17,GFREGIO MM Equity,0.027239189,Origin,GFREGIO MM 
16-01-17,PI IN Equity,0.042233785,Origin,PI IN 
16-01-17,TVSL IN Equity,0.044815267,Origin,TVSL IN 
16-01-17,KLBF IJ Equity,0.034263963,Origin,KLBF IJ 
16-01-17,4613 JT Equity,0.039180766,Origin,4613 JT 
17-01-17,RAIL3 BZ Equity,0.055273794,Origin,RAIL3 BZ 
17-01-17,MIKA IJ Equity,0.028669768,Origin,MIKA IJ 
17-01-17,MPI PM Equity,0.088365297,Origin,MPI PM 
17-01-17,KINO IJ Equity,0.00423284,Origin,KINO IJ 
17-01-17,4613 JT Equity,0.03897029,Origin,4613 JT 
17-01-17,DMC PM Equity,0.017781757,Origin,DMC PM 
17-01-17,SRCM IN Equity,0.0671019,Origin,SRCM IN 
17-01-17,PARAUCO CI Equity,0.007122515,Origin,PARAUCO CI 
17-01-17,ALSEA* MM Equity,0.080320368,Origin,ALSEA* MM 
17-01-17,KLBF IJ Equity,0.034022513,Origin,KLBF IJ 
17-01-17,GFREGIO MM Equity,0.027168784,Origin,GFREGIO MM 
17-01-17,ICT PM Equity,0.087526184,Origin,ICT PM 
17-01-17,URC PM Equity,5.61E-05,Origin,URC PM 
17-01-17,ACES IJ Equity,0.002735041,Origin,ACES IJ 
17-01-17,6409 TT Equity,0.040051284,Origin,6409 TT 
17-01-17,EIM IN Equity,0.045629409,Origin,EIM IN 
17-01-17,2199 HK Equity,0.02471441,Origin,2199 HK 
17-01-17,EEM US Equity,0.039365792,Origin,EEM
17-01-17,RBK IN Equity,0.026302092,Origin,RBK IN 
17-01-17,PAG IN Equity,0.07378891,Origin,PAG IN 
17-01-17,MRCO IN Equity,0.035952556,Origin,MRCO IN 
17-01-17,SECB PM Equity,0.08171547,Origin,SECB PM 
17-01-17,TVSL IN Equity,0.044422556,Origin,TVSL IN 
17-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
17-01-17,PI IN Equity,0.042327348,Origin,PI IN 
18-01-17,SRCM IN Equity,0.068763023,Origin,SRCM IN 
18-01-17,SECB PM Equity,0.082456024,Origin,SECB PM 
18-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
18-01-17,TVSL IN Equity,0.044698193,Origin,TVSL IN 
18-01-17,6409 TT Equity,0.040584483,Origin,6409 TT 
18-01-17,ACES IJ Equity,0.002701061,Origin,ACES IJ 
18-01-17,URC PM Equity,5.50E-05,Origin,URC PM 
18-01-17,2199 HK Equity,0.024444717,Origin,2199 HK 
18-01-17,PI IN Equity,0.042786353,Origin,PI IN 
18-01-17,4613 JT Equity,0.03811749,Origin,4613 JT 
18-01-17,KINO IJ Equity,0.004068193,Origin,KINO IJ 
18-01-17,KLBF IJ Equity,0.034621397,Origin,KLBF IJ 
18-01-17,ALSEA* MM Equity,0.077432042,Origin,ALSEA* MM 
18-01-17,PAG IN Equity,0.075462863,Origin,PAG IN 
18-01-17,MIKA IJ Equity,0.028048794,Origin,MIKA IJ 
18-01-17,EIM IN Equity,0.045539799,Origin,EIM IN 
18-01-17,RAIL3 BZ Equity,0.054656152,Origin,RAIL3 BZ 
18-01-17,ICT PM Equity,0.086916254,Origin,ICT PM 
18-01-17,RBK IN Equity,0.026052606,Origin,RBK IN 
18-01-17,MRCO IN Equity,0.036273733,Origin,MRCO IN 
18-01-17,DMC PM Equity,0.018013719,Origin,DMC PM 
18-01-17,EEM US Equity,0.038966325,Origin,EEM
18-01-17,PARAUCO CI Equity,0.007287071,Origin,PARAUCO CI 
18-01-17,MPI PM Equity,0.088797337,Origin,MPI PM 
18-01-17,GFREGIO MM Equity,0.026565545,Origin,GFREGIO MM 
19-01-17,EEM US Equity,0.038763448,Origin,EEM
19-01-17,MIKA IJ Equity,0.028039898,Origin,MIKA IJ 
19-01-17,SRCM IN Equity,0.06949947,Origin,SRCM IN 
19-01-17,ALSEA* MM Equity,0.074552095,Origin,ALSEA* MM 
19-01-17,EIM IN Equity,0.046156494,Origin,EIM IN 
19-01-17,ICT PM Equity,0.090079063,Origin,ICT PM 
19-01-17,DMC PM Equity,0.017305204,Origin,DMC PM 
19-01-17,6409 TT Equity,0.039936812,Origin,6409 TT 
19-01-17,4613 JT Equity,0.037876611,Origin,4613 JT 
19-01-17,RBK IN Equity,0.025731065,Origin,RBK IN 
19-01-17,SECB PM Equity,0.081664142,Origin,SECB PM 
19-01-17,RAIL3 BZ Equity,0.055220516,Origin,RAIL3 BZ 
19-01-17,MPI PM Equity,0.089660585,Origin,MPI PM 
19-01-17,PI IN Equity,0.04394567,Origin,PI IN 
19-01-17,URC PM Equity,5.68E-05,Origin,URC PM 
19-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
19-01-17,GFREGIO MM Equity,0.026540663,Origin,GFREGIO MM 
19-01-17,TVSL IN Equity,0.045355764,Origin,TVSL IN 
19-01-17,2199 HK Equity,0.023482061,Origin,2199 HK 
19-01-17,PARAUCO CI Equity,0.007287006,Origin,PARAUCO CI 
19-01-17,KLBF IJ Equity,0.033905217,Origin,KLBF IJ 
19-01-17,PAG IN Equity,0.075212025,Origin,PAG IN 
19-01-17,MRCO IN Equity,0.035894172,Origin,MRCO IN 
19-01-17,KINO IJ Equity,0.004088539,Origin,KINO IJ 
19-01-17,ACES IJ Equity,0.002707443,Origin,ACES IJ 
20-01-17,SRCM IN Equity,0.068698406,Origin,SRCM IN 
20-01-17,SECB PM Equity,0.081566143,Origin,SECB PM 
20-01-17,6409 TT Equity,0.040095118,Origin,6409 TT 
20-01-17,4613 JT Equity,0.038311763,Origin,4613 JT 
20-01-17,ACES IJ Equity,0.002661023,Origin,ACES IJ 
20-01-17,KINO IJ Equity,0.004174311,Origin,KINO IJ 
20-01-17,PAG IN Equity,0.07365366,Origin,PAG IN 
20-01-17,2199 HK Equity,0.023453846,Origin,2199 HK 
20-01-17,MPI PM Equity,0.088589467,Origin,MPI PM 
20-01-17,MIKA IJ Equity,0.028279763,Origin,MIKA IJ 
20-01-17,KLBF IJ Equity,0.033951558,Origin,KLBF IJ 
20-01-17,PARAUCO CI Equity,0.007178558,Origin,PARAUCO CI 
20-01-17,GFREGIO MM Equity,0.026855783,Origin,GFREGIO MM 
20-01-17,URC PM Equity,5.45E-05,Origin,URC PM 
20-01-17,ALSEA* MM Equity,0.077444174,Origin,ALSEA* MM 
20-01-17,EEM US Equity,0.038789962,Origin,EEM
20-01-17,MRCO IN Equity,0.03548383,Origin,MRCO IN 
20-01-17,TVSL IN Equity,0.044007685,Origin,TVSL IN 
20-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
20-01-17,RAIL3 BZ Equity,0.058532246,Origin,RAIL3 BZ 
20-01-17,ICT PM Equity,0.089910125,Origin,ICT PM 
20-01-17,PI IN Equity,0.042781843,Origin,PI IN 
20-01-17,RBK IN Equity,0.025051709,Origin,RBK IN 
20-01-17,DMC PM Equity,0.016665332,Origin,DMC PM 
20-01-17,EIM IN Equity,0.045876589,Origin,EIM IN 
23-01-17,PAG IN Equity,0.072162964,Origin,PAG IN 
23-01-17,TVSL IN Equity,0.043835193,Origin,TVSL IN 
23-01-17,MRCO IN Equity,0.035079017,Origin,MRCO IN 
23-01-17,6409 TT Equity,0.039452301,Origin,6409 TT 
23-01-17,4613 JT Equity,0.038300204,Origin,4613 JT 
23-01-17,SRCM IN Equity,0.066646197,Origin,SRCM IN 
23-01-17,GFREGIO MM Equity,0.027667075,Origin,GFREGIO MM 
23-01-17,ALSEA* MM Equity,0.080387964,Origin,ALSEA* MM 
23-01-17,SECB PM Equity,0.08086759,Origin,SECB PM 
23-01-17,2199 HK Equity,0.023297005,Origin,2199 HK 
23-01-17,ACES IJ Equity,0.002610891,Origin,ACES IJ 
23-01-17,MIKA IJ Equity,0.027658139,Origin,MIKA IJ 
23-01-17,RAIL3 BZ Equity,0.059023583,Origin,RAIL3 BZ 
23-01-17,PARAUCO CI Equity,0.00711007,Origin,PARAUCO CI 
23-01-17,URC PM Equity,5.56E-05,Origin,URC PM 
23-01-17,KLBF IJ Equity,0.033542667,Origin,KLBF IJ 
23-01-17,EEM US Equity,0.039036701,Origin,EEM
23-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
23-01-17,PI IN Equity,0.042234937,Origin,PI IN 
23-01-17,KINO IJ Equity,0.004127006,Origin,KINO IJ 
23-01-17,RBK IN Equity,0.026228035,Origin,RBK IN 
23-01-17,MPI PM Equity,0.0905763,Origin,MPI PM 
23-01-17,EIM IN Equity,0.045364737,Origin,EIM IN 
23-01-17,DMC PM Equity,0.016049589,Origin,DMC PM 
23-01-17,ICT PM Equity,0.090757311,Origin,ICT PM 
24-01-17,MPI PM Equity,0.087040063,Origin,MPI PM 
24-01-17,ACES IJ Equity,0.002679215,Origin,ACES IJ 
24-01-17,EEM US Equity,0.038569484,Origin,EEM
24-01-17,TVSL IN Equity,0.04528078,Origin,TVSL IN 
24-01-17,RAIL3 BZ Equity,0.058949426,Origin,RAIL3 BZ 
24-01-17,DMC PM Equity,0.015030091,Origin,DMC PM 
24-01-17,PI IN Equity,0.044374037,Origin,PI IN 
24-01-17,SRCM IN Equity,0.067790924,Origin,SRCM IN 
24-01-17,KINO IJ Equity,0.004054311,Origin,KINO IJ 
